Date,Description,Amount
2024-01-15,Office Supplies,125.50
2024-01-16,Payment from ABC Corporation,2500.00
2024-01-17,Internet Service,89.99
2024-01-18,Lunch Meeting - Restaurant,45.75
2024-01-19,Software License Renewal,199.00
2024-01-20,Fuel Purchase,35.25
2024-01-21,Payment from XYZ Industries,1800.00
2024-01-22,Rent Payment,1200.00
2024-01-23,Telephone Bill,65.50
2024-01-24,Marketing and Advertising,150.00
2024-01-25,Payment from DEF Limited,3200.00
2024-01-26,Business Travel,275.80
2024-01-27,Computer Equipment,450.00
2024-01-28,Payment from GHI Corporation,1500.00
2024-01-29,Utility Bills,185.30
2024-01-30,Cleaning Services,120.00
2024-01-31,New Client Payment - JKL Corp,2200.00
2024-01-31,Website Hosting Fee,75.00 